specimen,diet,sex,infection,wing,area,length,breadth,roundness,asp.ratio
32,N,M,U,LHW,5.008321,2.849379,2.38534,0.78542,1.194538
32,N,M,U,RFW,5.203084,3.95389,1.992002,0.423762,1.984882
32,N,M,U,RHW,4.932712,2.849215,2.380022,0.773652,1.197138
36,N,F,U,LFW,7.703658,4.988698,2.399087,0.394124,2.079415
36,N,F,U,LHW,7.441607,3.597013,2.908049,0.732306,1.236916
36,N,F,U,RFW,7.575896,4.868413,2.396272,0.406976,2.031661
36,N,F,U,RHW,7.229842,3.543082,2.836168,0.733291,1.24925
41,N,M,U,LFW,6.246485,4.481384,2.199132,0.396024,2.037797
41,N,M,U,LHW,5.981205,3.146812,2.646391,0.769054,1.189096
41,N,M,U,RFW,6.310976,4.442233,2.225097,0.407196,1.996422
41,N,M,U,RHW,5.976112,3.130692,2.660796,0.776333,1.1766
42,N,F,I,LFW,5.616377,4.263622,2.049543,0.393377,2.080279
42,N,F,I,LHW,5.29326,2.952582,2.475316,0.773089,1.19281
42,N,F,I,RFW,5.552572,4.143393,2.05006,0.411805,2.021108
42,N,F,I,RHW,5.268929,2.944917,2.47381,0.773547,1.190438
44,N,M,U,LFW,5.625036,4.177018,2.053138,0.41049,2.034455
44,N,M,U,LHW,5.267575,2.909294,2.467319,0.792402,1.179132
44,N,M,U,RFW,5.700358,4.081074,2.10943,0.435776,1.934681
44,N,M,U,RHW,5.337733,2.926103,2.490128,0.793757,1.175081
48,N,M,I,LFW,7.076077,4.730463,2.372033,0.40262,1.994265
48,N,M,I,LHW,6.76028,3.323412,2.783699,0.779303,1.193884
48,N,M,I,RFW,7.088996,4.586361,2.374279,0.4291,1.931686
48,N,M,I,RHW,6.766309,3.321884,2.812357,0.780716,1.181174
49,N,F,I,LFW,7.19608,4.825092,2.375244,0.393545,2.03141
49,N,F,I,LHW,6.882149,3.39512,2.82491,0.760193,1.201851
49,N,F,I,RFW,7.151223,4.822883,2.356615,0.391451,2.04653
49,N,F,I,RHW,6.905475,3.382098,2.821155,0.768655,1.198834
4,N,M,I,LFW,6.866996,4.585236,2.350589,0.415866,1.950675
4,N,M,I,LHW,6.509495,3.257399,2.769313,0.781116,1.176248
4,N,M,I,RFW,6.824567,4.4656,2.377223,0.435738,1.878495
4,N,M,I,RHW,6.468831,3.206025,2.806932,0.801313,1.142181
50,N,F,U,LFW,6.985437,4.743404,2.313303,0.395297,2.05049
50,N,F,U,LHW,6.678694,3.321762,2.796536,0.770663,1.187813
50,N,F,U,RFW,5.974247,4.281712,2.261446,0.414914,1.893351
50,N,F,U,RHW,6.690889,3.327673,2.791433,0.76933,1.192102
